index site,latitude,longitude,pays,couleur,capacite offshore,scores,capacites
1,54.0,8.0,Allemagne,#7b0323,Non,0.0032906735734590637,7509.607003342228
2,54.0,9.0,Allemagne,#7b0323,Non,0.0021926014301745537,5003.709632088747
3,54.0,10.0,Allemagne,#7b0323,Non,0.0018517171127959765,4225.781587884473
4,54.0,11.0,Allemagne,#7b0323,Non,0.0018517171127959762,4225.781587884473
5,54.0,12.0,Allemagne,#7b0323,Non,0.0021926014301745537,5003.709632088747
6,54.0,13.0,Allemagne,#7b0323,Non,0.002392290138230777,5459.416856470489
7,54.0,14.0,Allemagne,#7b0323,Non,0.002392290138230777,5459.416856470489
8,53.0,8.0,Allemagne,#7b0323,Non,0.0021845012345583317,4985.224272064392
9,53.0,9.0,Allemagne,#7b0323,Non,0.0018362949244265707,4190.586795328975
10,53.0,10.0,Allemagne,#7b0323,Non,0.0015572455659506829,3553.7715750074103
11,53.0,11.0,Allemagne,#7b0323,Non,0.0014439644290850408,3295.2540405992295
12,53.0,12.0,Allemagne,#7b0323,Non,0.0015396052412386977,3513.5147999000865
13,53.0,13.0,Allemagne,#7b0323,Non,0.001578322881129746,3601.8718651598497
14,53.0,14.0,Allemagne,#7b0323,Non,0.001578322881129746,3601.8718651598497
15,52.0,7.0,Allemagne,#7b0323,Non,0.0015783228811297489,3601.871865159856
16,52.0,8.0,Allemagne,#7b0323,Non,0.0015378352557501023,3509.475537079193
17,52.0,9.0,Allemagne,#7b0323,Non,0.0014386320259905648,3283.085026952328
18,52.0,10.0,Allemagne,#7b0323,Non,0.0013200346336055971,3012.4353290863423
19,52.0,11.0,Allemagne,#7b0323,Non,0.0012066546637198165,2753.692249019005
20,52.0,12.0,Allemagne,#7b0323,Non,0.0012232764256674918,2791.624574162681
21,52.0,13.0,Allemagne,#7b0323,Non,0.0012374882875116002,2824.0572949575485
22,52.0,14.0,Allemagne,#7b0323,Non,0.0012374882875116002,2824.0572949575485
23,51.0,7.0,Allemagne,#7b0323,Non,0.0013232785881792993,3019.8383192162905
24,51.0,8.0,Allemagne,#7b0323,Non,0.0012226186649577826,2790.1235062743326
25,51.0,9.0,Allemagne,#7b0323,Non,0.0011822326426299949,2697.959045309252
26,51.0,10.0,Allemagne,#7b0323,Non,0.0011259599003836831,2569.5396898683034
27,51.0,11.0,Allemagne,#7b0323,Non,0.0010633740259971478,2426.7132106957197
28,51.0,12.0,Allemagne,#7b0323,Non,0.0010343532867888266,2360.4853270919716
29,51.0,13.0,Allemagne,#7b0323,Non,0.001041304763702284,2376.3492098343722
30,51.0,14.0,Allemagne,#7b0323,Non,0.001041304763702284,2376.3492098343722
31,50.0,7.0,Allemagne,#7b0323,Non,0.0011873097020556,2709.545342207984
32,50.0,8.0,Allemagne,#7b0323,Non,0.0010863935855605189,2479.2458736450963
